Question,Answer,Image Path
Where is the bathtub located in relation to the window?,The bathtub is positioned to the left of the window.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0099.color.jpg
What is the size of the sink compared to the bathtub?,The sink is smaller in size compared to the bathtub.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0099.color.jpg
How far is the towel rack from the bathtub?,"The towel rack is positioned a short distance away, directly beside the bathtub.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0099.color.jpg
Where are the shelves with objects located relative to the sink?,The shelves with objects are located above and to the right of the sink.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0099.color.jpg
What is the distance between the window and the bathtub?,The window is positioned far enough away that there is space for the towel rack between them.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0099.color.jpg
Where is the bathtub located in relation to the sink?,The bathtub is positioned to the left of the sink.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0000.color.jpg
How far is the window from the bathtub?,The window is directly above the bathtub.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0000.color.jpg
Where is the towel bar situated compared to the window?,The towel bar is located to the left of the window.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0000.color.jpg
What is the size difference between the shelf and the sink?,The shelf appears to be larger than the sink.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0000.color.jpg
Where are the toiletries placed in relation to the mirror?,The toiletries are positioned below the mirror on the shelf.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0000.color.jpg
Where is the sink located relative to the cabinet?,The sink is positioned to the left of the cabinet.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0067.color.jpg
How far away is the toilet from the cabinet?,The toilet is positioned a short distance to the right of the cabinet.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0067.color.jpg
What is the size of the towels compared to the basin?,The towels are smaller than the basin.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0067.color.jpg
Where is the mirror placed in relation to the sink?,The mirror is located directly above the sink.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0067.color.jpg
What is the distance between the towel stack and the plate?,The towel stack is positioned directly to the left of the plate on the cabinet.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0067.color.jpg
Where is the bathtub located in relation to the sink?,The bathtub is located to the left of the sink.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0015.color.jpg
How many items are on the plate nearby?,There are seven blue objects on the plate.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0015.color.jpg
What is positioned above the sink area?,A shelf or ledge is positioned above the sink area.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0015.color.jpg
"Which object is nearer to the window, the bathtub or the towel rack?",The towel rack is nearer to the window than the bathtub.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0015.color.jpg
How far is the soap dish from the edge of the bathtub?,The soap dish is positioned on the edge of the bathtub.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0015.color.jpg
Where is the towel situated in relation to the bathtub?,The towel is located to the left of the bathtub.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0080.color.jpg
How far is the purple bottle from the edge of the shelf?,"The purple bottle is positioned towards the left side of the shelf, a few inches away from the edge.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0080.color.jpg
What is the size comparison between the soap and the container next to it on the shelf?,The soap is smaller than the container next to it on the shelf.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0080.color.jpg
Where is the wooden box located in relation to the other items on the shelf?,The wooden box is situated to the right of the soap container.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0080.color.jpg
"How many shelves are visible above the bathtub, and how are they positioned?","There are two shelves visible above the bathtub, both positioned at equal height along the wall.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0080.color.jpg
Where is the towel ring located in relation to the window?,The towel ring is positioned to the left of the window.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0059.color.jpg
How far is the toilet from the window?,The toilet is positioned closer to the wall and further away from the window.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0059.color.jpg
What is the size of the window compared to the towel?,The window is significantly larger than the towel hanging from the towel ring.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0059.color.jpg
Where is the window in relation to the sink?,"The window is positioned above the sink, allowing light to enter the area.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0059.color.jpg
How far apart are the two windows seen in the image?,The two windows are placed side by side and are relatively close to one another.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0059.color.jpg
Where is the bathtub positioned in relation to the wall?,The bathtub is positioned against the wall in the corner of the room.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0003.color.jpg
How far is the soap dish from the bathtub?,The soap dish is placed directly next to the bathtub.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0003.color.jpg
What is the size comparison between the toothbrush and the shampoo bottle?,The toothbrush appears to be smaller than the shampoo bottle.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0003.color.jpg
Where is the rubber duck located relative to the other objects on the shelf?,The rubber duck is located to the right of the shampoo bottle on the shelf.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0003.color.jpg
How many items are on the shelf above the bathtub?,There are three items on the shelf above the bathtub.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0003.color.jpg
Where is the cabinet located in relation to the toilet?,The cabinet is positioned to the left of the toilet.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0075.color.jpg
How far is the cabinet from the toilet?,The cabinet is approximately one foot away from the toilet.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0075.color.jpg
What size is the cabinet compared to the toilet?,The cabinet appears to be larger in width than the toilet.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0075.color.jpg
Where are the towels placed in relation to the plate?,The towels are positioned directly to the right of the plate.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0075.color.jpg
How does the size of the plate compare to the towels?,The plate is significantly smaller than the stack of towels.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0075.color.jpg
Where is the towel rack positioned relative to the bathtub?  ,The towel rack is positioned to the left of the bathtub.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0097.color.jpg
What is the approximate size of the bathtub compared to the shelves?  ,The bathtub is significantly larger than the shelves.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0097.color.jpg
How far apart are the two wall shelves?  ,The two wall shelves are spaced approximately a foot apart.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0097.color.jpg
Where is the round bottle positioned in relation to the square box on the shelf?  ,The round bottle is positioned to the left of the square box on the shelf.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0097.color.jpg
Which object is closer to the wall: the bathtub or the towel?  ,The towel is closer to the wall than the bathtub.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0097.color.jpg
Where is the toilet positioned relative to the toilet paper holder?,The toilet is positioned to the left of the toilet paper holder.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0024.color.jpg
How far is the toilet from the door?,"The toilet is positioned a short distance away, likely close to the door.",/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0024.color.jpg
What is the size comparison between the toilet and the toilet paper holder?,The toilet is larger than the toilet paper holder.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0024.color.jpg
Where is the door located in relation to the wall with the toilet paper holder?,The door is located on the wall opposite to the toilet paper holder.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0024.color.jpg
How does the height of the door compare to the height of the toilet?,The door is taller than the toilet.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_001/images/scene_cam_00_final_preview/frame.0024.color.jpg
Where is the coffee table positioned relative to the sofa?,The coffee table is positioned in front of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0011.color.jpg
How far is the television from the coffee table?,The television is positioned a few feet behind the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0011.color.jpg
What is the size comparison between the armchairs and the coffee table?,The armchairs are larger than the coffee table.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0011.color.jpg
Where is the bookshelf located in relation to the television?,The bookshelf is located to the right of the television.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0011.color.jpg
How far apart are the two armchairs?,The two armchairs are positioned at a moderate distance from each other.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0011.color.jpg
Where is the coffee table positioned relative to the sofa?,The coffee table is positioned to the right of the sofa.,/home/rodionfa/3d_box_data/ml-hypersim/data/ai_001_008/images/scene_cam_00_final_preview/frame.0031.color.jpg
